,budget,cast,close,director,gross,mpaa,open,opening_gross,opening_theaters,rank,rating,season,studio,title,year,June-Sep,Oct-Nov,Jan-May,Dec,mpaa_new,PG,R,PG-13,prol_studio,Tier_2
2978462,36000000.0,,12/18,,42024533.0,Rated PG for some mild  thematic elements,9/12,15873397.0,3656.0,79,6.4,June-Sep,WB,Dolphin Tale 2,2014,True,False,False,False,PG,True,False,False,False,False
1571222,20000000.0,,5/3,,5704709.0,Rated R for sexual content and brief language,11/23,167953.0,4.0,152,6.5,Oct-Nov,SPC,A Dangerous Method,2011,False,True,False,False,R,False,True,False,False,False
1920849,3000000.0,,10/11,,447954.0,"Rated R for sexual content, pervasive language, and drug use",9/7,181494.0,47.0,254,5.3,June-Sep,RTWC,Bachelorette,2012,True,False,False,False,R,False,True,False,False,False
1220634,57500000.0,,11/4,,60128566.0,Rated R for sequences of strong violence and language,9/10,26650264.0,3203.0,55,5.9,June-Sep,SGem,Resident Evil: Afterlife,2010,True,False,False,False,R,False,True,False,False,False
2295722,4500000.0,,9/11,,11774.0,"Rated R for violence throughout, and some sexual references/content",9/5,8691.0,10.0,563,5.7,June-Sep,Free,Falcon Rising,2014,True,False,False,False,R,False,True,False,False,False
1645170,65000000.0,,7/26,,59650222.0,"Rated R for strong crude and sexual content, brief male nudity, language and some violent images",5/16,17435092.0,3008.0,54,6.4,Jan-May,Par.,The Dictator,2012,False,False,True,False,R,False,True,False,False,False
0375568,65000000.0,,1/21,,19551067.0,"Rated PG for some action and peril, and brief mild language",10/23,6702923.0,3014.0,111,6.4,Oct-Nov,Sum.,Astro Boy,2009,False,True,False,False,PG,True,False,False,False,False
0457400,100000000.0,,8/13,,49438370.0,"Rated PG-13 for crude and sexual content, and for language including a drug reference",6/5,18837350.0,3521.0,63,5.3,June-Sep,Uni.,Land of the Lost,2009,True,False,False,False,PG-13,False,False,True,False,False
1074638,200000000.0,,3/10,,304360277.0,"Rated PG-13 for intense violent sequences throughout, some sexuality, language and smoking",11/9,88364714.0,3505.0,4,7.8,Oct-Nov,Sony,Skyfall,2012,False,True,False,False,PG-13,False,False,True,False,False
2226417,5000000.0,,12/19,,83586447.0,"Rated PG-13 for intense sequences of terror and violence, and thematic elements",9/13,40272103.0,3049.0,42,6.6,June-Sep,FD,Insidious Chapter 2,2013,True,False,False,False,PG-13,False,False,True,False,False
