,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
0,2978462,Low,Low,Low,High,Medium High,June-Sep,WB,Dolphin Tale 2,2014,PG
1,1571222,Low,Low,Low,Low,Medium High,Oct-Nov,SPC,A Dangerous Method,2011,R
2,1920849,Low,Low,Low,Low,Medium,June-Sep,RTWC,Bachelorette,2012,R
3,1220634,Low,Low,Low,Medium High,Medium,June-Sep,SGem,Resident Evil: Afterlife,2010,R
4,2295722,Low,Low,Low,Low,Medium,June-Sep,Free,Falcon Rising,2014,R
5,1645170,Low,Low,Low,Medium High,Medium High,Jan-May,Par.,The Dictator,2012,R
6,375568,Low,Low,Low,Medium High,Medium High,Oct-Nov,Sum.,Astro Boy,2009,PG
7,457400,Low Medium,Low,Low,Medium High,Medium,June-Sep,Uni.,Land of the Lost,2009,PG-13
8,1074638,Medium,Medium,Medium,Medium High,High,Oct-Nov,Sony,Skyfall,2012,PG-13
9,2226417,Low,Low,Low Medium,Medium High,Medium High,June-Sep,FD,Insidious Chapter 2,2013,PG-13
10,2473682,Low,Low,Low,Medium High,Low Medium,Jan-May,Par.,Paranormal Activity: The Marked Ones,2014,R
11,1282140,Low,Low,Low,Medium High,Medium High,June-Sep,SGem,Easy A,2010,PG-13
12,1151922,Low,Low,Low,Low Medium,Medium,Jan-May,FoxS,Miss March,2009,R
13,2191701,Low,Low,Low Medium,Medium High,Medium,June-Sep,Sony,Grown Ups 2,2013,PG-13
14,770703,Low,Low,Low,Medium High,Medium,June-Sep,Fox,What's Your Number?,2011,R
15,1646987,Low Medium,Low,Low,Medium High,Medium,Jan-May,WB,Wrath of the Titans,2012,PG-13
16,1521197,Low,Low,Low,Low,Medium High,Oct-Nov,Sony,Anonymous,2011,PG-13
17,1959490,Low Medium,Low,Low Medium,Medium High,Medium,Jan-May,Par.,Noah,2014,PG-13
18,974661,Low,Low,Low,Medium High,Medium High,Jan-May,WB (NL),17 Again,2009,PG-13
19,1315981,Low,Low,Low,Low,High,Dec,Wein.,A Single Man,2009,R
20,2955096,Low,Low,Low,Low,Medium,June-Sep,Magn.,Happy Christmas,2014,R
21,2725962,Low,Low,Low,Low,Medium High,Jan-May,MBox,Ida,2014,PG-13
22,1375666,Low Medium,Low Medium,Low Medium,High,High,June-Sep,WB,Inception,2010,PG-13
23,1470827,Low,Low,Low,Low,Medium High,Oct-Nov,Magn.,Monsters,2010,R
24,1872181,Medium,Low Medium,Medium,High,Medium High,Jan-May,Sony,The Amazing Spider-Man 2,2014,PG-13
25,938330,Low,Low,Low,Medium High,Low Medium,Oct-Nov,ORF,Silent Hill: Revelation 3D,2012,R
26,1430607,Low,Low,Low,Medium High,Medium High,Oct-Nov,Sony,Arthur Christmas,2011,PG
27,1772408,Low,Low,Low,Low,Medium,Oct-Nov,Mont.,Trade of Innocents,2012,PG-13
28,1397514,Low,Low,Low,Medium High,Medium,Jan-May,WB,Journey 2: The Mysterious Island,2012,PG
29,1114740,Low,Low,Low,Medium High,Medium,Jan-May,Sony,Paul Blart: Mall Cop,2009,PG
30,1403241,Low,Low,Low,Low,Medium,Oct-Nov,KE,Wolves,2014,R
31,1809398,Low,Low,Low,Medium High,Medium High,Dec,Uni.,Unbroken,2014,PG-13
32,2262227,Low,Low,Low,Medium High,Medium High,Oct-Nov,Fox,The Book of Life ,2014,PG
33,1068242,Low,Low,Low,Medium High,Medium,Oct-Nov,Par.,Footloose ,2011,PG-13
34,1152822,Low,Low,Low,Low,Medium High,Oct-Nov,Magn.,Freakonomics,2010,PG-13
35,1323594,Low,Low Medium,Low Medium,Medium High,High,June-Sep,Uni.,Despicable Me,2010,PG
36,458525,Low Medium,Low Medium,Medium,High,Medium High,Jan-May,Fox,X-Men Origins: Wolverine,2009,PG-13
37,1735898,Low Medium,Low Medium,Low Medium,High,Medium,June-Sep,Uni.,Snow White and the Huntsman,2012,PG-13
38,1170358,Medium,Low Medium,Medium,High,High,Dec,WB,The Hobbit: The Desolation of Smaug,2013,PG-13
39,1220628,Low,Low,Low,Low,Medium,June-Sep,Free,I Hope They Serve Beer in Hell,2009,R
40,800320,Low Medium,Low Medium,Low Medium,High,Medium,Jan-May,WB,Clash of the Titans ,2010,PG-13
41,2739338,Low,Low,Low,Low,Medium,Oct-Nov,ELS,The Christmas Candle,2013,PG
42,1126590,Low,Low,Low,Low Medium,Medium High,Dec,Wein.,Big Eyes,2014,PG-13
43,1210166,Low,Low,Low,Medium High,High,June-Sep,Sony,Moneyball,2011,PG-13
44,1127180,Low,Low,Low,Medium,Medium High,Jan-May,Uni.,Drag Me to Hell,2009,PG-13
45,1232783,Low,Low,Low,Medium,Medium,June-Sep,Sum.,Sorority Row,2009,R
46,1413495,Low,Low,Low,Medium,Medium,June-Sep,Rela.,Paranoia,2013,PG-13
47,1421051,Low,Low,Low,Low,Medium High,Dec,Focus,Somewhere,2010,R
48,1179034,Low,Low,Low,Medium High,Medium High,Jan-May,LGF,From Paris with Love,2010,R
49,1990314,Low,Low,Low,Low,Medium High,June-Sep,Gold.,Robot & Frank,2012,PG-13
50,1190080,Medium,Low Medium,Low Medium,Medium High,Medium,Oct-Nov,Sony,2012,2009,PG-13
51,1230414,Low,Low,Low,Medium High,Medium High,Dec,Uni.,It's Complicated,2009,R
52,1922777,Low,Low,Low,Medium,Medium High,Oct-Nov,LG/S,Sinister,2012,R
53,1726592,Low,Low,Low,Medium,Medium High,Oct-Nov,CE,Before I Go To Sleep,2014,R
54,1235170,Low,Low,Low,Low,Medium,June-Sep,RAtt.,The Future,2011,R
55,2937898,Low,Low,Low,Low,Medium High,Dec,A24,A Most Violent Year,2014,R
56,1392214,Low,Low,Low,Medium High,High,June-Sep,WB,Prisoners,2013,R
57,1951264,Low Medium,Medium,High,High,High,Oct-Nov,LGF,The Hunger Games: Catching Fire,2013,PG-13
58,986263,Low,Low,Low,Medium High,Medium High,June-Sep,BV,Surrogates,2009,PG-13
59,2172934,Low,Low,Low,Medium High,Medium,Jan-May,Rela.,3 Days to Kill,2014,PG-13
60,2387559,Low,Low,Low,Medium High,Medium High,Oct-Nov,BV,Delivery Man,2013,PG-13
61,1204342,Low,Low,Low,Medium High,Medium High,Oct-Nov,BV,The Muppets,2011,PG
62,2752758,Low,Low,Low,Medium,Low Medium,Jan-May,Fox,Devil's Due,2014,R
63,448011,Low,Low,Low,Medium High,Medium,Jan-May,Sum.,Knowing,2009,PG-13
64,443272,Low,Low Medium,Low,Low,Medium High,Oct-Nov,BV,Lincoln,2012,PG-13
65,1126618,Low,Low,Low,Medium,Medium High,Oct-Nov,Par.,Morning Glory,2010,PG-13
66,1179258,Low,Low,Low,Low,Medium,June-Sep,Mira.,Cheri,2009,R
67,1375670,Low,Low Medium,Low Medium,Medium High,Medium,June-Sep,Sony,Grown Ups,2010,PG-13
68,1650554,Low,Low,Low,Medium High,Medium High,June-Sep,Uni.,Kick-Ass 2,2013,R
69,1092026,Low,Low,Low,Medium High,Medium High,Jan-May,Uni.,Paul,2011,R
70,3722118,Low,Low,Low,Low,Medium,Oct-Nov,RM,God the Father,2014,R
71,2302755,Low,Low,Low,Medium High,Medium High,Jan-May,FD,Olympus Has Fallen,2013,R
72,1430615,Low,Low,Low,Medium,Medium High,Jan-May,Uni.,Big Miracle,2012,PG
73,1423995,Low,Low,Low,Low,Medium,Oct-Nov,Over.,Stone,2010,R
74,2618368,Low,Low,Low,Low,Medium High,Jan-May,RAtt.,Gloria ,2014,R
75,1855199,Low,Low,Low,Medium High,High,June-Sep,ORF,End of Watch,2012,R
76,1568346,Low Medium,Low,Low,Medium High,High,Dec,Sony,The Girl with the Dragon Tattoo ,2011,R
77,1425922,Low,Low,Low,Low Medium,Low Medium,Oct-Nov,FoxS,Black Nativity,2013,PG
78,988045,Low Medium,Low Medium,Low Medium,High,High,Dec,WB,Sherlock Holmes,2009,PG-13
79,993842,Low,Low,Low,Medium,Medium High,Jan-May,Focus,Hanna,2011,PG-13
80,452694,Low,Low,Low,Medium High,Medium High,June-Sep,WB (NL),The Time Traveler's Wife,2009,PG-13
81,429493,Low Medium,Low,Low,Medium High,Medium High,June-Sep,Fox,The A-Team,2010,PG-13
82,872230,Low,Low,Low,Medium,Low Medium,Oct-Nov,Uni.,My Soul to Take,2010,R
83,970179,Medium,Low,Low,Low Medium,High,Oct-Nov,Par.,Hugo,2011,PG
84,1542344,Low,Low,Low,Low,High,Oct-Nov,FoxS,127 Hours,2010,R
85,2042568,Low,Low,Low,Low,Medium High,Dec,CBS,Inside Llewyn Davis,2013,R
86,1212450,Low,Low,Low,Medium High,Medium High,June-Sep,Wein.,Lawless,2012,R
87,990407,Low Medium,Low,Low,High,Medium,Jan-May,Sony,The Green Hornet,2011,PG-13
88,1631867,Medium,Low,Low,Medium High,High,June-Sep,WB,Edge of Tomorrow,2014,PG-13
89,1560985,Low,Low,Low,Medium,Low Medium,Jan-May,Par.,The Devil Inside,2012,R
90,892769,Low Medium,Low Medium,Low Medium,High,High,Jan-May,P/DW,How to Train Your Dragon,2010,PG
91,1956620,Low,Low,Low,Medium High,Medium,June-Sep,Sony,Sex Tape,2014,R
92,1067774,Low,Low,Low,Medium,Medium,June-Sep,Fox,Monte Carlo,2011,PG
93,1045772,Low,Low,Low,Low,Medium High,Dec,RAtt.,"I Love You, Phillip Morris",2010,R
94,1560747,Low,Low,Low,Low,Medium High,June-Sep,Wein.,The Master,2012,R
95,1490017,Low,Low Medium,Low Medium,High,High,Jan-May,WB,The LEGO Movie,2014,PG
96,1714206,Low,Low,Low,Low,Medium High,June-Sep,A24,The Spectacular Now,2013,R
97,762125,Low,Low,Low,Medium High,Medium,Oct-Nov,Sony,Planet 51,2009,PG
98,2582802,Low,Low,Low,Low,High,Oct-Nov,SPC,Whiplash,2014,R
99,464154,Low,Low,Low,Medium,Medium,June-Sep,W/Dim.,Piranha 3D,2010,R
