,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
0,2978462,0.0,0.0,0.0,4.0,3.0,2,66,Dolphin Tale 2,2014,0
1,1571222,0.0,0.0,0.0,0.0,3.0,3,53,A Dangerous Method,2011,2
2,1920849,0.0,0.0,0.0,0.0,2.0,2,48,Bachelorette,2012,2
3,1220634,0.0,0.0,0.0,3.0,2.0,2,51,Resident Evil: Afterlife,2010,2
4,2295722,0.0,0.0,0.0,0.0,2.0,2,22,Falcon Rising,2014,2
5,1645170,0.0,0.0,0.0,3.0,3.0,1,42,The Dictator,2012,2
6,375568,0.0,0.0,0.0,3.0,3.0,3,57,Astro Boy,2009,0
7,457400,1.0,0.0,0.0,3.0,2.0,2,61,Land of the Lost,2009,1
8,1074638,2.0,2.0,2.0,3.0,4.0,3,56,Skyfall,2012,1
9,2226417,0.0,0.0,1.0,3.0,3.0,2,17,Insidious Chapter 2,2013,1
10,2473682,0.0,0.0,0.0,3.0,1.0,1,42,Paranormal Activity: The Marked Ones,2014,2
11,1282140,0.0,0.0,0.0,3.0,3.0,2,51,Easy A,2010,1
12,1151922,0.0,0.0,0.0,1.0,2.0,1,21,Miss March,2009,2
13,2191701,0.0,0.0,1.0,3.0,2.0,2,56,Grown Ups 2,2013,1
14,770703,0.0,0.0,0.0,3.0,2.0,2,20,What's Your Number?,2011,2
15,1646987,1.0,0.0,0.0,3.0,2.0,1,66,Wrath of the Titans,2012,1
16,1521197,0.0,0.0,0.0,0.0,3.0,3,56,Anonymous,2011,1
17,1959490,1.0,0.0,1.0,3.0,2.0,1,42,Noah,2014,1
18,974661,0.0,0.0,0.0,3.0,3.0,1,67,17 Again,2009,1
19,1315981,0.0,0.0,0.0,0.0,4.0,0,68,A Single Man,2009,2
20,2955096,0.0,0.0,0.0,0.0,2.0,2,32,Happy Christmas,2014,2
21,2725962,0.0,0.0,0.0,0.0,3.0,1,29,Ida,2014,1
22,1375666,1.0,1.0,1.0,4.0,4.0,2,66,Inception,2010,1
23,1470827,0.0,0.0,0.0,0.0,3.0,3,32,Monsters,2010,2
24,1872181,2.0,1.0,2.0,4.0,3.0,1,56,The Amazing Spider-Man 2,2014,1
25,938330,0.0,0.0,0.0,3.0,1.0,3,35,Silent Hill: Revelation 3D,2012,2
26,1430607,0.0,0.0,0.0,3.0,3.0,3,56,Arthur Christmas,2011,0
27,1772408,0.0,0.0,0.0,0.0,2.0,3,34,Trade of Innocents,2012,1
28,1397514,0.0,0.0,0.0,3.0,2.0,1,66,Journey 2: The Mysterious Island,2012,0
29,1114740,0.0,0.0,0.0,3.0,2.0,1,56,Paul Blart: Mall Cop,2009,0
