,tconst,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes
257954,tt0268978,ABeautifulMind,A Beautiful Mind,2001,"Biography,Drama",8.0,11.0
439454,tt0456912,ABittersweetLife,Dalkomhan insaeng,2005,"Action,Drama",8.0,6.0
74227,tt0075784,ABridgeTooFar,A Bridge Too Far,1977,"Drama,History,War",8.0,7.0
104186,tt0106489,ABronxTale,A Bronx Tale,1993,"Crime,Drama,Romance",5.3,12.0
83507,tt0085334,AChristmasStory,A Christmas Story,1983,"Comedy,Family",6.0,2092.0
342050,tt0356470,ACinderellaStory,A Cinderella Story,2004,"Comedy,Family,Romance",7.7,52.0
65607,tt0066921,AClockworkOrange,A Clockwork Orange,1971,"Crime,Drama,Sci-Fi",6.9,55.0
2084313,tt1571222,ADangerousMethod,A Dangerous Method,2011,"Biography,Drama,Romance",,
3617766,tt4161150,ADogsLife,A Dog's Life,2011,Documentary,,
102004,tt0104257,AFewGoodMen,A Few Good Men,1992,"Drama,Thriller",6.1,19.0
89087,tt0091051,AFineMess,A Fine Mess,1986,"Action,Comedy,Crime",7.9,9.0
93102,tt0095159,AFishCalledWanda,A Fish Called Wanda,1988,"Comedy,Crime",4.4,454.0
21545,tt0021885,AFreeSoul,A Free Soul,1931,"Crime,Drama,Romance",5.7,414.0
107538,tt0109912,AGnomeNamedGnorm,A Gnome Named Gnorm,1990,"Action,Adventure,Comedy",7.1,8.0
57096,tt0058182,AHardDaysNight,A Hard Day's Night,1964,"Comedy,Music,Musical",5.0,16.0
204359,tt0212720,AIArtificialIntelligence,Artificial Intelligence: AI,2001,"Drama,Sci-Fi",6.7,510.0
177411,tt0183790,AKnightsTale,A Knight's Tale,2001,"Action,Adventure,Romance",5.6,7.0
116852,tt0119535,ALifeLessOrdinary,A Life Less Ordinary,1997,"Comedy,Crime,Fantasy",7.4,34.0
100207,tt0102443,AMidnightClear,A Midnight Clear,1992,"Drama,War",6.2,117.0
297456,tt0310281,AMightyWind,A Mighty Wind,2003,"Comedy,Music",8.0,117.0
66159,tt0067482,ANewLeaf,A New Leaf,1971,"Comedy,Romance",5.1,150.0
941453,tt0971209,APerfectGetaway,A Perfect Getaway,2009,"Mystery,Thriller",4.9,129.0
118010,tt0120787,APerfectMurder,A Perfect Murder,1998,"Crime,Drama,Thriller",8.7,33.0
403565,tt0420087,APrairieHomeCompanion,A Prairie Home Companion,2006,"Comedy,Drama,Music",7.8,5.0
102990,tt0105265,ARiverRunsThroughIt,A River Runs Through It,1992,Drama,5.1,15.0
1080074,tt1019452,ASeriousMan,A Serious Man,2009,"Comedy,Drama",,
117604,tt0120324,ASimplePlan,A Simple Plan,1998,"Crime,Drama,Thriller",7.1,9.0
117420,tt0120133,ASimpleWish,A Simple Wish,1997,"Comedy,Family,Fantasy",7.4,1328.0
40127,tt0040820,ASongIsBorn,A Song Is Born,1948,"Comedy,Music,Musical",5.6,118.0
740791,tt0763831,AThousandWords,A Thousand Words,2012,"Comedy,Drama",7.6,9.0
246858,tt0257360,AboutSchmidt,About Schmidt,2002,"Comedy,Drama",9.2,9.0
2678536,tt2194499,AboutTime,About Time,2013,"Comedy,Drama,Fantasy",,
2122972,tt1611224,AbrahamLincolnVampireHunter,Abraham Lincoln: Vampire Hunter,2012,"Action,Fantasy,Horror",,
2122748,tt1610996,Absentia,Absentia,2011,"Drama,Horror,Mystery",,
288520,tt0300902,Absolon,Absolon,2003,"Action,Sci-Fi,Thriller",7.8,288.0
88632,tt0090585,AbsoluteBeginners,Absolute Beginners,1986,"Drama,Musical,Romance",6.9,10.0
115910,tt0118548,AbsolutePower,Absolute Power,1997,"Action,Crime,Drama",8.4,8.0
369215,tt0384793,Accepted,Accepted,2006,Comedy,7.9,7.0
59848,tt0061000,ActionMan,Le soleil des voyous,1967,"Crime,Drama,Thriller",9.4,16.0
257143,tt0268126,Adaptation,Adaptation.,2002,"Comedy,Drama",6.3,18.0
1494634,tt1091722,Adventureland,Adventureland,2009,"Comedy,Drama,Romance",,
2318611,tt1815862,AfterEarth,After Earth,2013,"Action,Adventure,Drama",,
1724263,tt1196334,AfterLastSeason,After Last Season,2009,"Animation,Drama,Sci-Fi",,
300960,tt0313911,AgentCodyBanks,Agent Cody Banks,2003,"Action,Adventure,Comedy",7.7,60.0
1715092,tt1186830,Agora,Agora,2009,"Adventure,Biography,Drama",,
115930,tt0118570,AirBud,Air Bud,1997,"Comedy,Drama,Family",3.4,19.0
1891775,tt1371630,AirDoll,Kûki ningyô,2009,"Drama,Fantasy,Romance",,
115931,tt0118571,AirForceOne,Air Force One,1997,"Action,Drama,Thriller",6.1,7.0
106712,tt0109068,Airheads,Airheads,1994,"Comedy,Crime,Music",6.6,16.0
